Data rilevamento;Ora;Id Rete Monitoraggio;Codice Istat Comune;Progr. Punto Comune;Denominazione Stazione;Id Parametro;Descr. Parametro;Id Un. misura;Descr. Un. misura;Valore;Stato
02/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;35.0;V
03/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;11.0;V
04/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;18.0;V
05/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;14.0;V
06/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;7.0;V
07/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;25.0;V
08/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;37.0;V
09/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;21.0;V
10/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;17.0;V
11/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;22.0;V
12/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;24.0;V
13/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;7.0;V
14/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;6.0;V
15/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;17.0;V
16/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;15.0;V
17/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;2.0;V
18/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;12.0;V
19/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;13.0;V
20/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;15.0;V
21/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;30.0;V
22/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;46.0;V
23/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;38.0;V
24/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;37.0;V
25/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;42.0;V
26/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;39.0;V
27/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;29.0;V
28/02/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;31.0;V
01/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;45.0;V
02/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;34.0;V
03/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;30.0;V
04/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;32.0;V
05/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;50.0;V
06/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;55.0;V
07/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;39.0;V
08/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;35.0;V
09/03/2026;23:59;13;001272;806;Torino - Lingotto;PM2.5_B;PM2.5 - Beta;23;microgrammi / metro cubo;36.0;V
